epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1959.24,0.41078,0.27223,0.92293,0.99913,1,0.995,0.95738,0.31185,0.18988,0.86971,0.000317125,0.000317125,0.000317125
120,1975.43,0.40765,0.26763,0.91453,0.99968,1,0.995,0.95491,0.31616,0.20548,0.87214,0.000315778,0.000315778,0.000315778
121,1991.6,0.39703,0.25659,0.91094,0.99971,1,0.995,0.95965,0.29997,0.18483,0.86514,0.000314432,0.000314432,0.000314432
122,2007.7,0.40037,0.26433,0.905,0.99964,1,0.995,0.95169,0.33227,0.20048,0.88576,0.000313086,0.000313086,0.000313086
123,2023.99,0.40133,0.26292,0.91571,0.99939,1,0.995,0.96505,0.29517,0.18496,0.864,0.000311739,0.000311739,0.000311739
124,2040.52,0.40835,0.2639,0.92137,0.99947,1,0.995,0.95338,0.31974,0.19158,0.87185,0.000310393,0.000310393,0.000310393
125,2054,0.41669,0.26223,0.92618,0.99937,1,0.995,0.95596,0.31566,0.18894,0.87496,0.000309046,0.000309046,0.000309046
126,2068.59,0.39347,0.25188,0.91574,0.99953,1,0.995,0.96504,0.30278,0.18603,0.86682,0.0003077,0.0003077,0.0003077
127,2084.91,0.40005,0.26405,0.91677,0.99955,1,0.995,0.96244,0.31006,0.19066,0.86526,0.000306354,0.000306354,0.000306354
128,2101.08,0.40631,0.26304,0.91902,0.99965,1,0.995,0.95317,0.32149,0.19418,0.87069,0.000305007,0.000305007,0.000305007
129,2117.77,0.37445,0.25331,0.89539,0.99967,1,0.995,0.95012,0.33149,0.20601,0.87728,0.000303661,0.000303661,0.000303661
130,2133.9,0.39723,0.25668,0.91488,0.99963,1,0.995,0.95161,0.31658,0.19712,0.87015,0.000302314,0.000302314,0.000302314
131,2149.85,0.40244,0.25317,0.90854,0.99972,1,0.995,0.9572,0.30212,0.18445,0.86361,0.000300968,0.000300968,0.000300968
132,2163.79,0.38335,0.27183,0.90684,0.99968,1,0.995,0.95227,0.31812,0.19343,0.87197,0.000299622,0.000299622,0.000299622
133,2177.88,0.3956,0.26091,0.909,0.99891,0.9999,0.995,0.96276,0.28674,0.17939,0.85637,0.000298275,0.000298275,0.000298275
134,2194.23,0.38863,0.25129,0.91142,0.99962,1,0.995,0.96378,0.29009,0.18463,0.85759,0.000296929,0.000296929,0.000296929
135,2210.55,0.38674,0.25413,0.89922,0.9995,1,0.995,0.96113,0.30057,0.19553,0.86504,0.000295582,0.000295582,0.000295582
136,2226.87,0.37955,0.25469,0.899,0.9996,1,0.995,0.95283,0.31476,0.19216,0.8677,0.000294236,0.000294236,0.000294236
137,2243,0.3831,0.2512,0.90454,0.99739,0.99769,0.995,0.9629,0.29572,0.18101,0.86102,0.00029289,0.00029289,0.00029289
138,2259.21,0.3871,0.2564,0.90874,0.99961,1,0.995,0.9608,0.3081,0.18711,0.8667,0.000291543,0.000291543,0.000291543
139,2273.43,0.38616,0.25242,0.91247,0.99959,1,0.995,0.9626,0.28582,0.18653,0.85658,0.000290197,0.000290197,0.000290197
140,2287.94,0.38359,0.25942,0.91106,0.99939,1,0.995,0.96523,0.28551,0.18155,0.85415,0.00028885,0.00028885,0.00028885
141,2303.93,0.3736,0.24308,0.89967,0.99961,1,0.995,0.96578,0.29395,0.17769,0.85458,0.000287504,0.000287504,0.000287504
142,2319.87,0.37251,0.2398,0.89041,0.99955,1,0.995,0.96948,0.28656,0.18481,0.85198,0.000286158,0.000286158,0.000286158
143,2335.92,0.35986,0.2374,0.88621,0.99972,1,0.995,0.96704,0.28586,0.18464,0.85314,0.000284811,0.000284811,0.000284811
144,2352.62,0.38055,0.25564,0.90331,0.99967,1,0.995,0.95977,0.30561,0.1831,0.86395,0.000283465,0.000283465,0.000283465
145,2368.41,0.3597,0.23956,0.89361,0.99969,1,0.995,0.96559,0.28896,0.17806,0.85695,0.000282118,0.000282118,0.000282118
146,2383.94,0.38456,0.24114,0.90507,0.99969,1,0.995,0.95515,0.30905,0.17837,0.86088,0.000280772,0.000280772,0.000280772
147,2398.1,0.3809,0.23999,0.91022,0.99967,1,0.995,0.95815,0.29258,0.17282,0.85831,0.000279426,0.000279426,0.000279426
148,2412.8,0.37662,0.23984,0.90692,0.99966,1,0.995,0.96505,0.28891,0.17545,0.85517,0.000278079,0.000278079,0.000278079
149,2428.75,0.36514,0.23679,0.89958,0.9997,1,0.995,0.9669,0.28783,0.17472,0.85505,0.000276733,0.000276733,0.000276733
150,2444.44,0.36452,0.24984,0.89896,0.99965,1,0.995,0.96713,0.28642,0.18441,0.85694,0.000275386,0.000275386,0.000275386
151,2460.77,0.36281,0.23982,0.89538,0.9997,1,0.995,0.9692,0.27365,0.1774,0.84714,0.00027404,0.00027404,0.00027404
152,2476.69,0.3777,0.24129,0.90665,0.99971,1,0.995,0.97148,0.26943,0.17675,0.84607,0.000272694,0.000272694,0.000272694
153,2493.17,0.35742,0.23126,0.89549,0.99935,1,0.995,0.97098,0.28027,0.18399,0.85244,0.000271347,0.000271347,0.000271347
154,2506.83,0.38257,0.24579,0.90842,0.99968,1,0.995,0.96668,0.28904,0.18244,0.85594,0.000270001,0.000270001,0.000270001
155,2521.66,0.36656,0.24495,0.89614,0.99971,1,0.995,0.97549,0.25986,0.17128,0.84277,0.000268654,0.000268654,0.000268654
156,2537.47,0.35937,0.24643,0.89423,0.99972,1,0.995,0.97146,0.27559,0.17488,0.84838,0.000267308,0.000267308,0.000267308
157,2553.69,0.35525,0.23463,0.89749,0.9997,1,0.995,0.97056,0.27653,0.17253,0.84861,0.000265962,0.000265962,0.000265962
158,2569.79,0.35253,0.23476,0.89409,0.99973,1,0.995,0.97336,0.27429,0.16881,0.84752,0.000264615,0.000264615,0.000264615
159,2586.01,0.34355,0.22787,0.88761,0.99962,1,0.995,0.9745,0.27377,0.16903,0.84814,0.000263269,0.000263269,0.000263269
160,2602.19,0.37926,0.24146,0.89703,0.9997,1,0.995,0.96364,0.29121,0.17859,0.85048,0.000261922,0.000261922,0.000261922
161,2616.12,0.36623,0.23757,0.89408,0.99964,1,0.995,0.9708,0.27781,0.17521,0.84351,0.000260576,0.000260576,0.000260576
162,2630.5,0.35277,0.23417,0.88316,0.99971,1,0.995,0.97422,0.26388,0.16813,0.83931,0.00025923,0.00025923,0.00025923
163,2646.54,0.36129,0.23282,0.89484,0.99965,1,0.995,0.97015,0.28329,0.17092,0.85523,0.000257883,0.000257883,0.000257883
164,2662.75,0.37172,0.24387,0.89829,0.9997,1,0.995,0.97553,0.26783,0.16753,0.84317,0.000256537,0.000256537,0.000256537
165,2678.8,0.35722,0.2356,0.89469,0.99951,1,0.995,0.97351,0.25898,0.16264,0.83924,0.00025519,0.00025519,0.00025519
166,2695.05,0.36287,0.24468,0.88563,0.99931,1,0.995,0.97387,0.24962,0.15731,0.83663,0.000253844,0.000253844,0.000253844
167,2711.37,0.36534,0.23135,0.89156,0.99965,1,0.995,0.97908,0.24864,0.15671,0.83397,0.000252498,0.000252498,0.000252498
168,2725.85,0.34625,0.22625,0.89064,0.99971,1,0.995,0.97306,0.25408,0.15533,0.83435,0.000251151,0.000251151,0.000251151
169,2740.08,0.36342,0.22646,0.88896,0.99963,1,0.995,0.97442,0.2565,0.16232,0.83745,0.000249805,0.000249805,0.000249805
170,2756.04,0.34838,0.22054,0.89053,0.99973,1,0.995,0.97074,0.26417,0.16183,0.84247,0.000248458,0.000248458,0.000248458
171,2772.37,0.35522,0.22721,0.89373,0.9997,1,0.995,0.97389,0.25897,0.16221,0.83716,0.000247112,0.000247112,0.000247112
172,2788.43,0.34349,0.22171,0.88799,0.99968,1,0.995,0.97604,0.25709,0.15833,0.83964,0.000245766,0.000245766,0.000245766
173,2804.72,0.36893,0.24305,0.90196,0.9995,1,0.995,0.97492,0.26159,0.16294,0.84155,0.000244419,0.000244419,0.000244419
174,2820.72,0.34381,0.22175,0.88424,0.99966,1,0.995,0.97919,0.24903,0.15626,0.83521,0.000243073,0.000243073,0.000243073
