               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.027246,           0.0082494,           0.0029715,            0.034847,             0.35333,            0.046661,           0.0079879,            0.019148,           0.0040443,           0.0024854,           0.0081586,           0.0081586,           0.0081586
                  95,            0.025791,           0.0085621,           0.0030528,            0.019659,                0.22,            0.017613,           0.0028443,            0.017068,           0.0039841,           0.0024478,           0.0081388,           0.0081388,           0.0081388
                  96,            0.024675,           0.0074911,           0.0031675,            0.027287,             0.28667,            0.037248,           0.0059474,            0.019022,           0.0041355,           0.0024012,            0.008119,            0.008119,            0.008119
                  97,            0.025636,           0.0077185,           0.0032741,            0.019988,                0.02,           0.0057081,           0.0014031,            0.017155,           0.0039084,           0.0024155,           0.0080992,           0.0080992,           0.0080992
                  98,            0.026146,           0.0079622,            0.003331,            0.019989,                0.02,            0.009035,           0.0022092,             0.01448,           0.0037845,           0.0024821,           0.0080794,           0.0080794,           0.0080794
                  99,            0.025594,           0.0077621,           0.0031978,            0.023626,             0.31333,             0.02344,           0.0057706,            0.016883,           0.0039294,           0.0024866,           0.0080596,           0.0080596,           0.0080596
                 100,            0.025713,           0.0085982,           0.0032424,             0.02328,                0.28,            0.031102,           0.0047851,            0.020848,           0.0039721,           0.0024907,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027539,           0.0083207,           0.0031885,            0.014555,             0.13333,             0.01245,           0.0034439,             0.01562,           0.0039413,           0.0024661,             0.00802,             0.00802,             0.00802
                 102,            0.025474,           0.0083355,           0.0030916,            0.019998,                0.02,              0.0144,           0.0067825,             0.01468,           0.0038165,           0.0024939,           0.0080002,           0.0080002,           0.0080002
                 103,            0.025588,           0.0073914,           0.0030866,            0.018645,             0.23333,            0.019461,           0.0068328,            0.020421,           0.0039988,           0.0024728,           0.0079804,           0.0079804,           0.0079804
                 104,            0.026005,           0.0076528,           0.0031664,            0.016089,                0.24,            0.018117,           0.0043029,            0.018817,           0.0041539,           0.0024234,           0.0079606,           0.0079606,           0.0079606
                 105,            0.025384,           0.0082381,           0.0029512,            0.013861,             0.14667,            0.016496,           0.0064591,            0.018376,           0.0040599,           0.0023775,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025384,           0.0078841,           0.0029017,            0.020875,             0.16667,            0.021519,           0.0070447,            0.014861,           0.0038279,           0.0023861,            0.007921,            0.007921,            0.007921
                 107,            0.023735,           0.0075393,           0.0028799,            0.036627,             0.25333,            0.040398,            0.012048,            0.018232,           0.0037819,           0.0023035,           0.0079012,           0.0079012,           0.0079012
                 108,            0.025075,            0.007739,            0.002733,            0.018512,                0.14,            0.020123,           0.0070332,            0.019151,           0.0038614,            0.002284,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024945,           0.0073171,           0.0026975,            0.020547,             0.17333,             0.01687,           0.0036079,            0.017633,           0.0039451,            0.002302,           0.0078616,           0.0078616,           0.0078616
                 110,            0.023205,           0.0075145,           0.0035279,            0.014229,             0.11333,             0.01082,           0.0026832,            0.014804,           0.0040358,           0.0023587,           0.0078418,           0.0078418,           0.0078418
